"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"","track_uri","track_name","mood","artist_uri","artist_name","genre","popularity","followers","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"spotify:track:241RmK77gecJ1y7jOoQ5lu","spotify:track:241RmK77gecJ1y7jOoQ5lu","This Will Be (An Everlasting Love)","happy","spotify:artist:5tTsrGPwQRWUsHR2Xf7Ke9","Natalie Cole","adult standards","67","402345","0.682","0.605","8","-10.771","1","0.0403","0.185","0.00326","0.0469","0.914","125.96","4"
"spotify:track:3SWZ9fHtWMxwkFok5qhhpO","spotify:track:3SWZ9fHtWMxwkFok5qhhpO","Can You Get To That","happy","spotify:artist:450o9jw6AtiQlQkHCdH6Ru","Funkadelic","funk","58","473670","0.689","0.83","8","-8.774","1","0.0954","0.539","0.0","0.0882","0.815","140.732","4"
"spotify:track:242UAWExQDujCkiQtLQvcu","spotify:track:242UAWExQDujCkiQtLQvcu","Don’t You Know","happy","spotify:artist:6TVVIyd0fsRDGg6WzHKyTP","Durand Jones & The Indications","funk","55","124988","0.68","0.658","4","-4.186","0","0.0339","0.637","4.27e-05","0.107","0.722","96.041","4"
"spotify:track:7fp41IDi1dqARoX0Nuvz5O","spotify:track:7fp41IDi1dqARoX0Nuvz5O","The Oogum Boogum Song","happy","spotify:artist:6ohvzFHYmLd05kyYhLui5K","Brenton Wood","classic soul","57","112483","0.885","0.64","7","-5.305","1","0.0431","0.765","0.0","0.247","0.851","112.658","4"
"spotify:track:0rN1OjmFyAPQmLOloqUBMs","spotify:track:0rN1OjmFyAPQmLOloqUBMs","Come On In","happy","spotify:artist:1plioVQ0mcgAO7uhvWkJJy","Lady Wray","funk","52","35325","0.653","0.445","5","-8.749","0","0.0248","0.165","0.0167","0.128","0.688","80.725","4"
"spotify:track:113bLFbp3F9MVN0w2KJ1ma","spotify:track:113bLFbp3F9MVN0w2KJ1ma","How Long Do I Have to Wait for You?","happy","spotify:artist:6LufpoVlIYKQCu9Gjpk8B7","Sharon Jones & The Dap-Kings","afrobeat","60","210170","0.674","0.909","10","-3.369","0","0.0464","0.469","0.0131","0.105","0.969","103.942","4"
"spotify:track:0W5qBuHbbBfCzszFxrQWMc","spotify:track:0W5qBuHbbBfCzszFxrQWMc","Call Me","happy","spotify:artist:4fXkvh05wFhuH77MfD4m9o","St. Paul & The Broken Bones","deep new americana","57","296492","0.573","0.786","7","-4.354","1","0.0353","0.0625","0.211","0.117","0.61","110.289","4"
"spotify:track:5EA06TsQmqmQXZiEhr1AaM","spotify:track:5EA06TsQmqmQXZiEhr1AaM","Coming Home","happy","spotify:artist:3qnGvpP8Yth1AqSBMqON5x","Leon Bridges","modern blues","76","1127260","0.427","0.465","6","-6.595","1","0.0291","0.461","5.52e-05","0.154","0.458","112.137","3"
"spotify:track:6Pi1WqBTTSjtl6BWHQSccH","spotify:track:6Pi1WqBTTSjtl6BWHQSccH","Lovely Day","happy","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","funk","75","1019012","0.702","0.658","9","-7.835","1","0.0332","0.179","0.000636","0.1","0.736","97.851","4"
