,track_uri,track_name,mood,artist_uri,artist_name,genre,popularity,followers,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
spotify:track:26wLOs3ZuHJa2Ihhx6QIE6,spotify:track:26wLOs3ZuHJa2Ihhx6QIE6,Teeth,angry,spotify:artist:5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,boy band,82,6881733,0.749,0.461,10,-2.961,0,0.0416,0.0516,6.24e-06,0.0738,0.42,139.02,4
spotify:track:3NkJNL3WqO1Lqc3uNDxvCN,spotify:track:3NkJNL3WqO1Lqc3uNDxvCN,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),angry,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,pop,98,54460401,0.643,0.721,1,-5.248,1,0.0449,0.00268,6.51e-06,0.0898,0.317,102.914,4
spotify:track:7aiClxsDWFRQ0Kzk5KI5ku,spotify:track:7aiClxsDWFRQ0Kzk5KI5ku,hot girl bummer,angry,spotify:artist:2cFrymmkijnjDg9SS92EPM,blackbear,electropop,86,3778873,0.778,0.559,6,-7.109,0,0.0776,0.128,0.0,0.399,0.678,129.989,1
spotify:track:3RauEVgRgj1IuWdJ9fDs70,spotify:track:3RauEVgRgj1IuWdJ9fDs70,The Man,angry,spotify:artist:06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,97,34651840,0.777,0.658,0,-5.191,1,0.054,0.0767,0.0,0.0901,0.633,110.048,4
spotify:track:6kls8cSlUyHW2BUOkDJIZE,spotify:track:6kls8cSlUyHW2BUOkDJIZE,Hate Me (with Juice WRLD),angry,spotify:artist:0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,dance pop,81,8781421,0.657,0.768,8,-4.628,1,0.0507,0.108,0.0,0.144,0.759,75.025,4
spotify:track:3707IBa4HnS3zDDoWfeUBl,spotify:track:3707IBa4HnS3zDDoWfeUBl,I Warned Myself,angry,spotify:artist:6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,dance pop,81,11948904,0.488,0.311,10,-11.467,0,0.297,0.562,0.000548,0.161,0.579,184.112,4
spotify:track:340UVheS8z3ncW9TTUhAbc,spotify:track:340UVheS8z3ncW9TTUhAbc,Nightmare,angry,spotify:artist:26VFTg2z8YR0cCuwLzESi2,Halsey,dance pop,88,13081783,0.611,0.622,9,-5.075,0,0.0734,0.0188,0.0,0.359,0.538,146.11,4
spotify:track:2WyRfGeHo97VC5mP1BBSzr,spotify:track:2WyRfGeHo97VC5mP1BBSzr,Mother's Daughter,angry,spotify:artist:5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,dance pop,91,13517551,0.681,0.865,1,-4.132,0,0.0594,0.00464,0.00169,0.149,0.528,91.017,4
spotify:track:4yI3HpbSFSgFZtJP2kDe5m,spotify:track:4yI3HpbSFSgFZtJP2kDe5m,Look At Her Now,angry,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,dance pop,86,23895145,0.563,0.564,10,-7.906,0,0.271,0.114,0.0254,0.304,0.55,154.355,5
spotify:track:6V9fHiv84WlVTg7CSnIVY2,spotify:track:6V9fHiv84WlVTg7CSnIVY2,Graveyard,angry,spotify:artist:26VFTg2z8YR0cCuwLzESi2,Halsey,dance pop,88,13081783,0.667,0.583,11,-5.127,0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,4
spotify:track:6b2RcmUt1g9N9mQ3CbjX2Y,spotify:track:6b2RcmUt1g9N9mQ3CbjX2Y,How Do You Sleep?,angry,spotify:artist:2wY79sveU1sp5g7SokKOiI,Sam Smith,dance pop,89,14711808,0.477,0.682,1,-4.931,0,0.0925,0.153,0.0,0.0763,0.345,110.567,5
spotify:track:1PSBzsahR2AKwLJgx8ehBj,spotify:track:1PSBzsahR2AKwLJgx8ehBj,Bad Things (with Camila Cabello),angry,spotify:artist:6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,ohio hip hop,87,2848868,0.697,0.691,2,-4.757,1,0.146,0.214,0.0,0.185,0.305,137.853,4
spotify:track:4bPQs0PHn4xbipzdPfn6du,spotify:track:4bPQs0PHn4xbipzdPfn6du,I Write Sins Not Tragedies,angry,spotify:artist:20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,baroque pop,82,10228687,0.569,0.83,9,-4.106,0,0.14,0.0807,0.0,0.114,0.609,170.094,4
spotify:track:5eB7w8UZJKjL5XmnC6Pctg,spotify:track:5eB7w8UZJKjL5XmnC6Pctg,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,angry,spotify:artist:20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,baroque pop,82,10228687,0.66,0.8,8,-4.644,1,0.0992,0.106,0.0,0.154,0.476,125.966,4
