,track_name,artist_uri,artist_name,genre,popularity,followers,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,mood
spotify:track:241RmK77gecJ1y7jOoQ5lu,This Will Be (An Everlasting Love),spotify:artist:5tTsrGPwQRWUsHR2Xf7Ke9,Natalie Cole,adult standards,68,408407,0.682,0.605,8,-10.771,1,0.0403,0.185,0.00326,0.0469,0.914,125.96,4,happy
spotify:track:3SWZ9fHtWMxwkFok5qhhpO,Can You Get To That,spotify:artist:450o9jw6AtiQlQkHCdH6Ru,Funkadelic,funk,58,476876,0.689,0.83,8,-8.774,1,0.0954,0.539,0.0,0.0882,0.815,140.732,4,happy
spotify:track:242UAWExQDujCkiQtLQvcu,Don’t You Know,spotify:artist:6TVVIyd0fsRDGg6WzHKyTP,Durand Jones & The Indications,funk,55,126193,0.68,0.658,4,-4.186,0,0.0339,0.637,4.27e-05,0.107,0.722,96.041,4,happy
spotify:track:113bLFbp3F9MVN0w2KJ1ma,How Long Do I Have to Wait for You?,spotify:artist:6LufpoVlIYKQCu9Gjpk8B7,Sharon Jones & The Dap-Kings,classic soul,61,211164,0.674,0.909,10,-3.369,0,0.0464,0.469,0.0131,0.105,0.969,103.942,4,happy
spotify:track:7fp41IDi1dqARoX0Nuvz5O,The Oogum Boogum Song,spotify:artist:6ohvzFHYmLd05kyYhLui5K,Brenton Wood,classic soul,57,113182,0.885,0.64,7,-5.305,1,0.0431,0.765,0.0,0.247,0.851,112.658,4,happy
spotify:track:0rN1OjmFyAPQmLOloqUBMs,Come On In,spotify:artist:1plioVQ0mcgAO7uhvWkJJy,Lady Wray,funk,52,35705,0.653,0.445,5,-8.749,0,0.0248,0.165,0.0167,0.128,0.688,80.725,4,happy
spotify:track:6Pi1WqBTTSjtl6BWHQSccH,Lovely Day,spotify:artist:1ThoqLcyIYvZn7iWbj8fsj,Bill Withers,funk,76,1028001,0.702,0.658,9,-7.835,1,0.0332,0.179,0.000636,0.1,0.736,97.851,4,happy
spotify:track:0W5qBuHbbBfCzszFxrQWMc,Call Me,spotify:artist:4fXkvh05wFhuH77MfD4m9o,St. Paul & The Broken Bones,funk,57,297603,0.573,0.786,7,-4.354,1,0.0353,0.0625,0.211,0.117,0.61,110.289,4,happy
spotify:track:5RxZ2t9Pujgw4a8n1SBVkZ,I Can't Stand The Rain,spotify:artist:5dM7jA0PXh0Ozz8LT2YOCB,Ann Peebles,classic soul,52,66042,0.727,0.387,1,-12.333,1,0.0412,0.253,0.0102,0.0625,0.966,160.392,4,happy
spotify:track:5EA06TsQmqmQXZiEhr1AaM,Coming Home,spotify:artist:3qnGvpP8Yth1AqSBMqON5x,Leon Bridges,modern blues,76,1133129,0.427,0.465,6,-6.595,1,0.0291,0.461,5.52e-05,0.154,0.458,112.137,3,happy
