,track_uri,track_name,mood,artist_uri,artist_name,genre,popularity,followers,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
spotify:track:7HWetAoWK9qkFM575HONAY,spotify:track:7HWetAoWK9qkFM575HONAY,Lonely (with benny blanco),sad,spotify:artist:1uNFoZAHBGtllmzznpCI3s,Justin Bieber,canadian pop,96,40467132,0.631,0.226,11,-7.257,0,0.0396,0.879,0.0,0.115,0.0765,79.968,4
spotify:track:0Uon5NsSAkBDx69XYOaQ5P,spotify:track:0Uon5NsSAkBDx69XYOaQ5P,Stay,sad,spotify:artist:4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,indie cafe pop,67,126964,0.618,0.37,10,-10.5,1,0.0543,0.883,0.0,0.123,0.433,114.26,4
spotify:track:5JVlz4JCy3cv8pZB12sKJL,spotify:track:5JVlz4JCy3cv8pZB12sKJL,The Night We Met (feat. Phoebe Bridgers),sad,spotify:artist:6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron,indie folk,73,769769,0.417,0.362,9,-11.109,1,0.0409,0.974,0.172,0.631,0.12,174.004,3
spotify:track:4xqrdfXkTW4T0RauPLv3WA,spotify:track:4xqrdfXkTW4T0RauPLv3WA,Heather,sad,spotify:artist:4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,bedroom pop,83,2290985,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,3
spotify:track:53bCcVMGv0S2aIYvfju2Tt,spotify:track:53bCcVMGv0S2aIYvfju2Tt,Crying Over You,sad,spotify:artist:6d4jrmreCmsenscuieJERc,The Band CAMINO,electropop,67,208567,0.463,0.411,11,-8.25,1,0.0414,0.679,0.0,0.0453,0.163,147.3,4
spotify:track:0tMSssfxAL2oV8Vri0mFHE,spotify:track:0tMSssfxAL2oV8Vri0mFHE,listen before i go,sad,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,electropop,92,36527428,0.319,0.0561,0,-23.023,1,0.045,0.935,0.00384,0.388,0.082,79.764,3
spotify:track:6700Z4Izi8EbB6JNthU6Ma,spotify:track:6700Z4Izi8EbB6JNthU6Ma,Hold Me While You Wait,sad,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,pop,86,6152924,0.688,0.53,11,-5.507,1,0.0333,0.443,0.0,0.0995,0.162,106.958,4
spotify:track:4jp8ragG1fHm1eucECebYF,spotify:track:4jp8ragG1fHm1eucECebYF,Brush Fire,sad,spotify:artist:4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,indie cafe pop,67,126964,0.528,0.367,2,-9.227,1,0.055,0.878,0.000146,0.0795,0.293,128.715,4
spotify:track:1Xi84slp6FryDSCbzq4UCD,spotify:track:1Xi84slp6FryDSCbzq4UCD,Arcade,sad,spotify:artist:3klZnJvYGIbWritVwQD434,Duncan Laurence,dutch pop,71,110953,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,3
spotify:track:1nYzjrdVQ8RpF93M0jPFW7,spotify:track:1nYzjrdVQ8RpF93M0jPFW7,Remember That Night?,sad,spotify:artist:7Lk9V7E1u5gqSHmtcKlOqH,Sara Kays,indie cafe pop,68,150549,0.679,0.61,7,-10.936,0,0.0305,0.585,9.51e-05,0.156,0.554,123.978,4
spotify:track:55Am8neGJkdj2ADaM3aw5H,spotify:track:55Am8neGJkdj2ADaM3aw5H,Train Wreck,sad,spotify:artist:4IWBUUAFIplrNtaOHcJPRM,James Arthur,pop,85,7089988,0.311,0.485,6,-5.726,0,0.0365,0.701,0.0,0.0726,0.225,77.355,4
